"","event","start_year","end_year","disease","deaths_low_estimate","global_population","low_global_death_percent"
"176","2000 Central America dengue epidemic",2000,2000,"Dengue fever",40,6088571383,0.00000000656968564279047
"177","1973 Italy Cholera El Tor epidemic",1973,1973,"Cholera (El Tor strain)",24,3942096442,0.00000000608813111325702
"178","2007 Uganda ebola outbreak",2007,2007,"Ebola",37,6629913759,0.00000000558076640888022
"179","2014 Odisha jaundice outbreak",2014,2015,"Primarily Hepatitis E, but also Hepatitis A",36,7169968185,0.00000000502094278121263
"180","2005 dengue outbreak in Singapore",2005,2005,"Dengue fever",27,6473044732,0.0000000041711437380501
"181","2008 Madagascar plague outbreak",2008,2008,"Bubonic plague",18,6709049780,0.00000000268294327665579
"182","2009 Bolivian dengue fever epidemic",2009,2009,"Dengue fever",18,6788214394,0.00000000265165461124945
"183","2006 India malaria outbreak",2006,2006,"Malaria",17,6551263534,0.00000000259491927195002
"184","1903 Fremantle plague epidemic ",1903,1903,"Bubonic plague",4,1654000000,0.00000000241837968561064
"185","2007 Iraq cholera outbreak",2007,2007,"Cholera",10,6629913759,0.0000000015083152456433
"186","1971 Staphorst polio epidemic",1971,1971,"Poliomyelitis",5,3790326948,0.00000000131914741619804
"187","2013 dengue outbreak in Singapore",2013,2013,"Dengue fever",8,7092128094,0.00000000112801121101691
"188","2004 Sudan ebola outbreak",2004,2004,"Ebola",7,6395699509,0.00000000109448544137348
"189","2003 Algeria plague outbreak",2003,2003,"Bubonic plague",1,6318590956,0.000000000158263132866738
"190","Queensland 2009 dengue outbreak",2009,2009,"Dengue fever",1,6788214394,0.000000000147314145069414
"191","2004 Afghanistan leishmaniasis epidemic",2004,2004,"Leishmaniasis",0,6395699509,0
"192","Jian'an Plague",217,217,"Unknown",NA,202000000,NA
"193","Plague of Cyprian",250,266,"Unknown",NA,202000000,NA
"194","Roman Plague of 590 ",590,590,"Bubonic plague",NA,213000000,NA
"195","Plague of 664 ",664,689,"Bubonic plague",NA,226000000,NA
"196","Plague of 698–701 ",698,701,"Bubonic plague",NA,226000000,NA
"197","Plague of 746–747 ",746,747,"Bubonic plague",NA,226000000,NA
"198","1510 influenza pandemic",1510,1510,"Influenza",NA,461000000,NA
"199","1557 influenza pandemic",1557,1559,"Influenza",NA,554000000,NA
"200","1561 Chile smallpox epidemic",1561,1562,"Smallpox",NA,554000000,NA
"201","1592–1596 Seneca nation measles epidemic",1592,1596,"Measles",NA,554000000,NA
"202","1600–1650 South America malaria epidemic",1600,1650,"Malaria",NA,554000000,NA
"203","1616 New England infections epidemic",1616,1620,"Unknown",NA,554000000,NA
"204","1648 Central America yellow fever epidemic",1648,1648,"Yellow fever",NA,554000000,NA
"205","1676–1685 Spain plague ",1676,1685,"Bubonic plague",NA,603000000,NA
"206","1687 South Africa Influenza outbreak",1687,1687,"Unknown",NA,603000000,NA
"207","1713–1715 North America measles epidemic",1713,1715,"Measles",NA,603000000,NA
"208","1732–1733 Thirteen Colonies influenza epidemic",1732,1733,"Influenza",NA,603000000,NA
"209","1733 New France smallpox epidemic",1733,1733,"Smallpox",NA,603000000,NA
"210","1759 North America measles outbreak",1759,1759,"Measles",NA,989000000,NA
"211","1763 Pittsburgh area smallpox outbreak",1763,1763,"Smallpox",NA,989000000,NA
"212","1775–1776 England influenza outbreak",1775,1776,"Influenza",NA,989000000,NA
"213","1778 Spain dengue fever outbreak",1778,1778,"Dengue fever",NA,989000000,NA
"214","1788 Pueblo Indians smallpox epidemic",1788,1788,"Smallpox",NA,989000000,NA
"215","1789–1790 New South Wales smallpox epidemic",1789,1790,"Smallpox",NA,989000000,NA
"216","1801 Ottoman Empire and Egypt bubonic plague epidemic",1801,1801,"Bubonic plague",NA,989000000,NA
"217","1829–1835 Iran plague outbreak",1829,1835,"Bubonic plague",NA,989000000,NA
"218","1834–1836 Egypt plague epidemic",1834,1836,"Bubonic plague",NA,989000000,NA
"219","1847–1848 influenza epidemic",1847,1848,"Influenza",NA,989000000,NA
"220","1853 Ottoman Empire plague epidemic",1853,1853,"Bubonic plague",NA,1654000000,NA
"221","1857 Victoria smallpox epidemic",1857,1857,"Smallpox",NA,1654000000,NA
"222","1857–1859 Europe and the Americas influenza epidemic",1857,1859,"Influenza",NA,1654000000,NA
"223","1937 Australia polio epidemic",1937,1937,"Poliomyelitis",NA,2307000000,NA
"224","1942–1944 Egypt malaria epidemic",1942,1944,"Malaria",NA,2307000000,NA
"225","1946 Egypt relapsing fever epidemic",1946,1946,"Relapsing fever",NA,2557628654,NA
